Date_ID,Full_Date,Month,Quarter,Year
20260101,2026-01-01,January,Q1,2026
20260102,2026-01-02,January,Q1,2026
20260103,2026-01-03,January,Q1,2026
20260104,2026-01-04,January,Q1,2026
20260105,2026-01-05,January,Q1,2026
20260106,2026-01-06,January,Q1,2026
20260107,2026-01-07,January,Q1,2026
20260108,2026-01-08,January,Q1,2026
20260109,2026-01-09,January,Q1,2026
20260110,2026-01-10,January,Q1,2026
20260111,2026-01-11,January,Q1,2026
20260112,2026-01-12,January,Q1,2026
20260113,2026-01-13,January,Q1,2026
20260114,2026-01-14,January,Q1,2026
20260115,2026-01-15,January,Q1,2026
20260116,2026-01-16,January,Q1,2026
20260117,2026-01-17,January,Q1,2026
20260118,2026-01-18,January,Q1,2026
20260119,2026-01-19,January,Q1,2026
20260120,2026-01-20,January,Q1,2026
20260121,2026-01-21,January,Q1,2026
20260122,2026-01-22,January,Q1,2026
20260123,2026-01-23,January,Q1,2026
20260124,2026-01-24,January,Q1,2026
20260125,2026-01-25,January,Q1,2026
20260126,2026-01-26,January,Q1,2026
20260127,2026-01-27,January,Q1,2026
20260128,2026-01-28,January,Q1,2026
20260129,2026-01-29,January,Q1,2026
20260130,2026-01-30,January,Q1,2026
