Sales_ID,Customer_ID,Product_ID,Date_ID,Quantity,Total_Amount
1001,23,107,20260122,3,941.55
1002,21,110,20260108,1,220.61
1003,5,106,20260125,3,1454.58
1004,20,118,20260103,1,231.73
1005,42,118,20260105,4,926.92
1006,30,105,20260116,2,841.74
1007,29,115,20260128,3,810.12
1008,14,117,20260104,2,915.32
1009,46,119,20260106,5,2340.85
1010,38,113,20260110,3,716.31
1011,1,118,20260128,5,1158.65
1012,38,119,20260122,5,2340.85
1013,37,101,20260130,3,1408.68
1014,15,115,20260120,2,540.08
1015,50,118,20260102,2,463.46
1016,12,109,20260129,2,750.76
1017,19,120,20260130,4,287.24
1018,45,108,20260115,4,1714.88
1019,10,106,20260105,1,484.86
1020,32,118,20260108,1,231.73
1021,11,120,20260106,2,143.62
1022,46,108,20260107,3,1286.16
1023,36,110,20260114,3,661.83
1024,6,113,20260123,2,477.54
1025,17,112,20260124,5,2156.25
1026,28,107,20260111,1,313.85
1027,29,115,20260123,4,1080.16
1028,13,101,20260107,4,1878.24
1029,19,105,20260121,2,841.74
1030,39,102,20260101,2,110.98
1031,36,103,20260128,2,663.3
1032,22,114,20260127,4,1910.84
1033,36,104,20260101,2,326.32
1034,4,110,20260124,1,220.61
1035,41,116,20260122,3,1178.1
1036,19,105,20260128,3,1262.61
1037,50,102,20260123,3,166.47
1038,40,104,20260121,4,652.64
1039,22,114,20260124,4,1910.84
1040,37,104,20260116,3,489.48
1041,40,105,20260118,5,2104.35
1042,20,105,20260123,1,420.87
1043,13,110,20260108,4,882.44
1044,27,116,20260129,5,1963.5
1045,1,107,20260112,3,941.55
1046,42,110,20260130,4,882.44
1047,20,119,20260103,4,1872.68
1048,45,110,20260107,3,661.83
1049,7,114,20260103,1,477.71
1050,20,112,20260126,3,1293.75
1051,30,105,20260107,5,2104.35
1052,11,116,20260119,4,1570.8
1053,48,102,20260130,3,166.47
1054,2,113,20260103,3,716.31
1055,30,115,20260124,1,270.04
1056,6,104,20260128,1,163.16
1057,38,118,20260113,5,1158.65
1058,34,108,20260112,4,1714.88
1059,3,111,20260125,1,375.04
1060,45,103,20260120,3,994.95
1061,6,101,20260103,2,939.12
1062,42,120,20260114,2,143.62
1063,16,114,20260103,2,955.42
1064,18,117,20260116,5,2288.3
1065,32,113,20260126,2,477.54
1066,3,107,20260130,4,1255.4
1067,32,116,20260113,3,1178.1
1068,19,109,20260116,3,1126.14
1069,11,110,20260115,3,661.83
1070,40,114,20260130,5,2388.55
1071,7,103,20260124,5,1658.25
1072,29,111,20260123,4,1500.16
1073,7,112,20260122,2,862.5
1074,19,117,20260116,4,1830.64
1075,13,109,20260110,5,1876.9
1076,23,111,20260111,5,1875.2
1077,4,113,20260101,2,477.54
1078,8,108,20260115,2,857.44
1079,32,119,20260116,4,1872.68
1080,50,114,20260118,2,955.42
1081,28,109,20260123,2,750.76
1082,28,102,20260102,4,221.96
1083,43,113,20260106,5,1193.85
1084,49,110,20260123,2,441.22
1085,37,116,20260112,5,1963.5
1086,15,114,20260111,5,2388.55
1087,4,107,20260128,5,1569.25
1088,25,114,20260109,4,1910.84
1089,33,113,20260115,5,1193.85
1090,40,120,20260129,4,287.24
1091,13,105,20260117,1,420.87
1092,11,104,20260105,4,652.64
1093,4,110,20260109,2,441.22
1094,27,120,20260126,2,143.62
1095,28,109,20260108,5,1876.9
1096,39,112,20260125,2,862.5
1097,11,117,20260123,2,915.32
1098,14,107,20260102,2,627.7
1099,18,108,20260116,1,428.72
1100,23,115,20260125,2,540.08
1101,38,111,20260119,3,1125.12
1102,49,106,20260124,2,969.72
1103,49,111,20260101,1,375.04
1104,14,116,20260119,4,1570.8
1105,46,108,20260102,1,428.72
1106,5,111,20260117,4,1500.16
1107,17,104,20260103,2,326.32
1108,16,104,20260112,3,489.48
1109,6,102,20260116,3,166.47
1110,6,102,20260105,3,166.47
1111,5,114,20260111,5,2388.55
1112,49,117,20260112,4,1830.64
1113,29,102,20260121,3,166.47
1114,18,112,20260129,2,862.5
1115,50,119,20260109,5,2340.85
1116,30,110,20260124,5,1103.05
1117,43,104,20260127,4,652.64
1118,24,112,20260110,5,2156.25
1119,26,102,20260126,1,55.49
1120,36,115,20260101,4,1080.16
1121,13,102,20260122,1,55.49
1122,21,106,20260115,2,969.72
1123,28,120,20260121,5,359.05
1124,36,120,20260129,5,359.05
1125,36,111,20260120,1,375.04
1126,41,111,20260123,1,375.04
1127,41,110,20260113,1,220.61
1128,20,118,20260121,2,463.46
1129,17,104,20260105,1,163.16
1130,41,119,20260120,3,1404.51
1131,2,113,20260124,5,1193.85
1132,13,117,20260110,4,1830.64
1133,36,104,20260122,2,326.32
1134,4,108,20260103,5,2143.6
1135,15,109,20260124,5,1876.9
1136,49,112,20260107,1,431.25
1137,39,109,20260106,3,1126.14
1138,32,112,20260112,3,1293.75
1139,16,112,20260104,2,862.5
1140,5,107,20260112,5,1569.25
1141,48,107,20260122,5,1569.25
1142,31,119,20260118,1,468.17
1143,24,103,20260127,3,994.95
1144,47,101,20260109,4,1878.24
1145,36,101,20260107,2,939.12
1146,18,103,20260118,4,1326.6
1147,9,110,20260104,5,1103.05
1148,45,112,20260109,1,431.25
1149,5,118,20260121,3,695.19
1150,39,119,20260127,3,1404.51
1151,12,108,20260109,4,1714.88
1152,50,102,20260120,4,221.96
1153,21,105,20260105,1,420.87
1154,18,116,20260123,4,1570.8
1155,8,119,20260106,4,1872.68
1156,1,106,20260104,3,1454.58
1157,46,119,20260130,2,936.34
1158,41,102,20260128,2,110.98
1159,43,112,20260117,3,1293.75
1160,36,102,20260108,3,166.47
1161,17,105,20260116,4,1683.48
1162,41,119,20260123,5,2340.85
1163,11,114,20260103,1,477.71
1164,50,103,20260102,4,1326.6
1165,41,101,20260123,1,469.56
1166,42,115,20260120,3,810.12
1167,36,112,20260122,1,431.25
1168,6,107,20260122,3,941.55
1169,21,116,20260107,5,1963.5
1170,17,116,20260122,4,1570.8
1171,8,117,20260119,4,1830.64
1172,36,105,20260113,5,2104.35
1173,16,119,20260113,5,2340.85
1174,20,120,20260114,3,215.43
1175,13,109,20260130,5,1876.9
1176,15,113,20260130,2,477.54
1177,20,105,20260120,2,841.74
1178,31,120,20260121,4,287.24
1179,40,108,20260107,1,428.72
1180,11,117,20260129,3,1372.98
1181,42,107,20260105,5,1569.25
1182,2,110,20260104,2,441.22
1183,13,101,20260116,3,1408.68
1184,14,102,20260123,1,55.49
1185,36,105,20260127,2,841.74
1186,6,102,20260115,5,277.45
1187,44,108,20260128,5,2143.6
1188,45,120,20260125,4,287.24
1189,43,109,20260111,2,750.76
1190,45,111,20260106,2,750.08
1191,4,103,20260107,1,331.65
1192,35,112,20260129,4,1725.0
1193,22,108,20260106,3,1286.16
1194,46,111,20260114,5,1875.2
1195,48,117,20260102,2,915.32
1196,26,110,20260126,5,1103.05
1197,1,118,20260126,3,695.19
1198,13,118,20260119,3,695.19
1199,8,115,20260101,2,540.08
1200,28,109,20260126,1,375.38
1201,31,105,20260121,4,1683.48
1202,35,107,20260124,2,627.7
1203,27,108,20260110,2,857.44
1204,17,119,20260116,5,2340.85
1205,5,110,20260105,3,661.83
1206,11,116,20260129,5,1963.5
1207,11,113,20260106,5,1193.85
1208,32,106,20260128,4,1939.44
1209,6,103,20260109,4,1326.6
1210,30,116,20260106,1,392.7
1211,22,103,20260115,5,1658.25
1212,21,103,20260114,3,994.95
1213,4,108,20260104,5,2143.6
1214,9,117,20260111,4,1830.64
1215,7,118,20260109,1,231.73
1216,2,110,20260107,2,441.22
1217,24,114,20260112,4,1910.84
1218,20,118,20260106,1,231.73
1219,9,107,20260104,1,313.85
1220,30,113,20260109,5,1193.85
1221,13,118,20260127,5,1158.65
1222,30,107,20260118,4,1255.4
1223,14,101,20260113,3,1408.68
1224,1,114,20260114,5,2388.55
1225,2,109,20260112,1,375.38
1226,30,111,20260104,3,1125.12
1227,14,112,20260106,1,431.25
1228,21,116,20260115,1,392.7
1229,36,104,20260116,5,815.8
1230,3,112,20260115,1,431.25
1231,44,103,20260113,3,994.95
1232,19,101,20260115,3,1408.68
1233,3,102,20260110,3,166.47
1234,7,103,20260120,4,1326.6
1235,39,112,20260126,5,2156.25
1236,39,116,20260108,2,785.4
1237,12,120,20260118,4,287.24
1238,25,112,20260105,2,862.5
1239,36,105,20260126,5,2104.35
